ID,Name,Description,BIPA
BIPA_ui_u0169u0069,ũi,from nasalized rounded close back to unrounded close front diphthong,ũi
BIPA_z_u007Au02E4u02D0,zˤː,pharyngealized long voiced alveolar sibilant fricative consonant,zˤː
BIPA_e_u025E,ɞ,rounded open-mid central vowel,ɞ
BIPA_r_u0281,ʁ,voiced uvular fricative consonant,ʁ
BIPA__u01C3u2019,ǃ’,voiceless alveolar ejective click consonant,ǃ’
BIPA_e_u0065u02D0u02D0,eːː,ultra-long unrounded close-mid front vowel,eːː
BIPA_g_u0263u030A,ɣ̊,devoiced voiced velar fricative consonant,ɣ̊
BIPA_u_u0259u0289,əʉ,from unrounded mid central to rounded close central diphthong,əʉ
BIPA_oi_u00F8u026A,øɪ,from rounded close-mid front to unrounded near-close near-front diphthong,øɪ
BIPA_tch_u0074u0320u0255u02B0,t̠ɕʰ,from voiceless post-alveolar stop to aspirated voiceless alveolo-palatal sibilant fricative cluster,t̠ɕʰ
BIPA_u_u028Cu0075,ʌu,from unrounded open-mid back to rounded close back diphthong,ʌu
BIPA_uo_u0264u006F,ɤo,from unrounded close-mid back to rounded close-mid back diphthong,ɤo
BIPA_k_u006Bu02D0,kː,long voiceless velar stop consonant,kː
BIPA_y_u028E,ʎ,voiced palatal lateral approximant consonant,ʎ
BIPA_a_u0252u02D0,ɒː,long rounded open back vowel,ɒː
BIPA_ai_u0061u026A,aɪ,from unrounded open front to unrounded near-close near-front diphthong,aɪ
BIPA_a_u00E3u02E4,ãˤ,pharyngealized nasalized unrounded open front vowel,ãˤ
BIPA_r_u0279u033A,ɹ̺,voiced apical alveolar approximant consonant,ɹ̺
BIPA_m_u006Du003A,m:,long voiced bilabial nasal consonant,mː
UNK_wa_u0077u0061,wa,,
UNK_jai_u006Au0061u0069u032F,jai̯,,
BIPA_ai_u0061u0069,ai,from unrounded open front to unrounded close front diphthong,ai
BIPA_l_u006Cu003A,l:,long voiced alveolar lateral approximant consonant,lː
BIPA_dzh_u0064u007Au02B1,dzʱ,breathy voiced alveolar sibilant affricate consonant,dzʱ
BIPA__u028Cu02D0,ʌː,long unrounded open-mid back vowel,ʌː
BIPA_nw_u006Eu032Au02B7,n̪ʷ,labialized voiced dental nasal consonant,n̪ʷ
BIPA_c_u0255u02D0,ɕː,long voiceless alveolo-palatal sibilant fricative consonant,ɕː
BIPA_c_u0063u02D0,cː,long voiceless palatal stop consonant,cː
BIPA_ds_u0064u02D0u0283,dːʃ,from long voiced alveolar stop to voiceless post-alveolar sibilant fricative cluster,dːʃ
UNK_oi_u006Fu0259u026A,oəɪ,,
BIPA_l_u026D,ɭ,voiced retroflex lateral approximant consonant,ɭ
UNK_cn_u0063u006E,cn,,
BIPA_nd_u207Fu0064,ⁿd,pre-nasalized voiced alveolar stop consonant,ⁿd
BIPA_cc_u0063u00E7u02D0,cçː,long voiceless palatal affricate consonant,cçː
BIPA_tl_u0074u026C,tɬ,voiceless alveolar lateral affricate consonant,tɬ
BIPA_v_u028Bu02D0,ʋː,long voiced labio-dental approximant consonant,ʋː
BIPA_u_u1E75u0303,ṵ̃,nasalized creaky rounded close back vowel,ṵ̃
BIPA_y_u0079u02D1,yˑ,mid-long rounded close front vowel,yˑ
BIPA_a_u0251u0330,ɑ̰,creaky unrounded open back vowel,ɑ̰
BIPA_m_u02C0u006D,ˀm,pre-glottalized voiced bilabial nasal consonant,ˀm
BIPA_tl_u0074u026Cu2019,tɬ’,voiceless alveolar ejective lateral affricate consonant,tɬʼ
BIPA_dj_u0064u02B2,dʲ,palatalized voiced alveolar stop consonant,dʲ
BIPA_b_u03B2u02D0,βː,long voiced bilabial fricative consonant,βː
BIPA_u_u0289,ʉ,rounded close central vowel,ʉ
BIPA_i_u0069u02D0,iː,long unrounded close front vowel,iː
BIPA_vj_u0076u02B2,vʲ,palatalized voiced labio-dental fricative consonant,vʲ
BIPA_a_u0251u02D0u02E4,ɑːˤ,long pharyngealized unrounded open back vowel,ɑˤː
BIPA_e_u0065u031D,e̝,raised unrounded close-mid front vowel,e̝
BIPA_a_u0061,a,unrounded open front vowel,a
BIPA__u0294u003A,ʔ:,long voiceless glottal stop consonant,ʔː
UNK_r_u0294u0072,ʔr,,
BIPA_z_u007Au0329,z̩,syllabic voiced alveolar sibilant fricative consonant,z̩
BIPA_i_u0069u02E4,iˤ,pharyngealized unrounded close front vowel,iˤ
UNK_ej_u0065u006A,ej,,
BIPA_o_u0254u02D0,ɔː,long rounded open-mid back vowel,ɔː
BIPA_tt_u0074u0074,tt,from voiceless alveolar stop to voiceless alveolar stop cluster,tt
