ID,Name,Description,BIPA
BIPA_tg_u0074u032Au02E0,t̪ˠ,velarized voiceless dental stop consonant,t̪ˠ
BIPA__u01C0u2019,ǀ’,voiceless dental ejective click consonant,ǀ’
BIPA_i_u026A,ɪ,unrounded near-close near-front vowel,ɪ
BIPA_nh_u0273u02B1,ɳʱ,breathy voiced retroflex nasal consonant,ɳʱ
BIPA_kw_u006Bu02B7u02BC,kʷʼ,labialized voiceless velar ejective stop consonant,kʼʷ
BIPA_m_u006Du0325,m̥,devoiced voiced bilabial nasal consonant,m̥
BIPA_dw_u0064u02B7,dʷ,labialized voiced alveolar stop consonant,dʷ
BIPA_mvw_u0271u0076u02B7,ɱvʷ,from voiced labio-dental nasal to labialized voiced labio-dental fricative cluster,ɱvʷ
BIPA_ua_u0075u0250,uɐ,from rounded close back to unrounded near-open central diphthong,uɐ
BIPA_v_u0076u02D0,vː,long voiced labio-dental fricative consonant,vː
BIPA_uo_u0075u006F,uo,from rounded close back to rounded close-mid back diphthong,uo
BIPA_e_u0065u02D1,eˑ,mid-long unrounded close-mid front vowel,eˑ
BIPA_ts_u0074u032Au0073u032A,t̪s̪,voiceless dental sibilant affricate consonant,ts̪
BIPA_xj_u0078u02B2,xʲ,palatalized voiceless velar fricative consonant,xʲ
BIPA_ng_u014B,ŋ,voiced velar nasal consonant,ŋ
BIPA_d_u0257,ɗ,voiced dental implosive consonant,ɗ
BIPA_e_u025B,ɛ,unrounded open-mid front vowel,ɛ
BIPA_tl_u0074u026Cu02BC,tɬʼ,voiceless alveolar ejective lateral affricate consonant,tɬʼ
BIPA_o_u00F8u02D0,øː,long rounded close-mid front vowel,øː
BIPA_bj_u0253u02B2,ɓʲ,palatalized voiced bilabial implosive consonant,ɓʲ
UNK_ii_u0069u0259u026A,iəɪ,,
BIPA_e_u0065u02D0,eː,long unrounded close-mid front vowel,eː
BIPA_r_u027D,ɽ,voiced retroflex tap consonant,ɽ
BIPA_ei_u0065u0069u032F,ei̯,from unrounded close-mid front to non-syllabic unrounded close front diphthong,ei̯
BIPA_o_u00F5u02E4,õˤ,pharyngealized nasalized rounded close-mid back vowel,õˤ
BIPA_j_u025F,ɟ,voiced palatal stop consonant,ɟ
UNK_tr_u0288u027D,ʈɽ,,
BIPA_bh_u0062u02B0,bʰ,aspirated voiced bilabial stop consonant,bʰ
UNK_jo_u006Au006F,jo,,
BIPA_dz_u0064u02D0u0291,dːʑ,long voiced alveolo-palatal sibilant affricate consonant,dʑː
BIPA_nh_u006Eu02B1,nʱ,breathy voiced alveolar nasal consonant,nʱ
BIPA_nj_u0272u025F,ɲɟ,from voiced palatal nasal to voiced palatal stop cluster,ɲɟ
BIPA_ndz_u006Eu0064u0292,ndʒ,from voiced alveolar nasal to voiced post-alveolar sibilant affricate cluster,ndʒ
UNK_tn_u0288u0273,ʈɳ,,
BIPA_lj_u006Cu02B2,lʲ,palatalized voiced alveolar lateral approximant consonant,lʲ
BIPA_u_u028A,ʊ,rounded near-close near-back vowel,ʊ
BIPA_v_u0076,v,voiced labio-dental fricative consonant,v
UNK_n_u004E,N,,
UNK_oa_u006Fu02D0u0252u032Fu0294,oːɒ̯ʔ,,
BIPA_j_u0284,ʄ,voiced palatal implosive consonant,ʄ
BIPA_l_u006Cu0325,l̥,devoiced voiced alveolar lateral approximant consonant,l̥
BIPA_n_u0235,ȵ,voiced alveolo-palatal nasal consonant,ȵ
BIPA_e_u0258,ɘ,unrounded close-mid central vowel,ɘ
BIPA_d_u0294u0064,ʔd,from voiceless glottal stop to voiced alveolar stop cluster,ʔd
BIPA_i_u1E2Du0303,ḭ̃,nasalized creaky unrounded close front vowel,ḭ̃
BIPA_mg_u006Du02E0,mˠ,velarized voiced bilabial nasal consonant,mˠ
UNK_oa_u00F8u02D0u0020u0251u02D0,øː ɑː,,
BIPA_b_u0062,b,voiced bilabial stop consonant,b
BIPA__u0259,ə,unrounded mid central vowel,ə
UNK_r_u0259u0281u031E,əʁ̞,,
BIPA_u_u0075u02D0u0259,uːə,from long rounded close back to unrounded mid central diphthong,uːə
BIPA_tw_u0074u032Au02B7,t̪ʷ,labialized voiceless dental stop consonant,t̪ʷ
BIPA_v_u0076u0325,v̥,devoiced voiced labio-dental fricative consonant,v̥
BIPA_rw_u0281u02B7u02D0,ʁʷː,labialized long voiced uvular fricative consonant,ʁʷː
BIPA_w_u0270,ɰ,voiced velar approximant consonant,ɰ
BIPA_e_u0258u0303,ɘ̃,nasalized unrounded close-mid central vowel,ɘ̃
BIPA_oo_u0254u006Fu032F,ɔo̯,from rounded open-mid back to non-syllabic rounded close-mid back diphthong,ɔo̯
BIPA_u_u0289u0259,ʉə,from rounded close central to unrounded mid central diphthong,ʉə
BIPA_o_u0254u0324u02D0,ɔ̤ː,long breathy rounded open-mid back vowel,ɔ̤ː
BIPA_ua_u0075u0251,uɑ,from rounded close back to unrounded open back diphthong,uɑ
BIPA_s_u0283u02D0,ʃː,long voiceless post-alveolar sibilant fricative consonant,ʃː
BIPA_bj_u0062u02B2,bʲ,palatalized voiced bilabial stop consonant,bʲ
BIPA_o_u0254u0324,ɔ̤,breathy rounded open-mid back vowel,ɔ̤
BIPA_gb_u0260u0253,ɠɓ,from voiced velar implosive to voiced bilabial implosive cluster,ɠɓ
BIPA_gh_u0067u02B0,gʰ,aspirated voiced velar stop consonant,gʰ
BIPA_ljw_u006Cu02B2u02B7,lʲʷ,palatalized labialized voiced alveolar lateral approximant consonant,lʲʷ
BIPA_ae_u0061u0065,ae,from unrounded open front to unrounded close-mid front diphthong,ae
BIPA_iu_u0069u0075,iu,from unrounded close front to rounded close back diphthong,iu
BIPA_u_u0289u031F,ʉ̟,advanced rounded close central vowel,ʉ̟
BIPA_y_u0079u02D0,yː,long rounded close front vowel,yː
BIPA_p_u0070u2019,p’,voiceless bilabial ejective stop consonant,pʼ
BIPA_ai_u0251u0069,ɑi,from unrounded open back to unrounded close front diphthong,ɑi
BIPA_o_u006Fu02D0u0259,oːə,from long rounded close-mid back to unrounded mid central diphthong,oːə
BIPA_i_u0268u031E,ɨ̞,lowered unrounded close central vowel,ɨ̞
UNK_aw_u0061u0077,aw,,
BIPA_e_u025Cu02D0,ɜː,long unrounded open-mid central vowel,ɜː
BIPA_njw_u006Eu02B2u02B7,nʲʷ,palatalized labialized voiced alveolar nasal consonant,nʲʷ
BIPA_ie_u026Au032Fu025B,ɪ̯ɛ,from non-syllabic unrounded near-close near-front to unrounded open-mid front diphthong,ɪ̯ɛ
BIPA_ou_u006Fu028A,oʊ,from rounded close-mid back to rounded near-close near-back diphthong,oʊ
BIPA_aeu_u00E6u0075,æu,from unrounded near-open front to rounded close back diphthong,æu
BIPA_i_u0129,ĩ,nasalized unrounded close front vowel,ĩ
BIPA_n_u207Fu01C3,ⁿǃ,pre-nasalized voiceless alveolar click consonant,ⁿǃ
BIPA_o_u00F6,ö,centralized rounded close-mid back vowel,ö
BIPA_n_u0273,ɳ,voiced retroflex nasal consonant,ɳ
UNK_nd_u0294u006Eu0064,ʔnd,,
BIPA_b_u0253u02D0,ɓː,long voiced bilabial implosive consonant,ɓː
BIPA_ei_u0065u0069,ei,from unrounded close-mid front to unrounded close front diphthong,ei
BIPA_u_u0075u0320,u̠,retracted rounded close back vowel,u̠
BIPA_g_u0263,ɣ,voiced velar fricative consonant,ɣ
BIPA_o_u0254u0303u02D0,ɔ̃ː,long nasalized rounded open-mid back vowel,ɔ̃ː
BIPA_d_u00F0u02E4,ðˤ,pharyngealized voiced dental fricative consonant,ðˤ
BIPA_c_u0063,c,voiceless palatal stop consonant,c
BIPA_dz_u0064u0292u02D0,dʒː,long voiced post-alveolar sibilant affricate consonant,dʒː
BIPA_z_u0292,ʒ,voiced post-alveolar sibilant fricative consonant,ʒ
BIPA_dz_u0064u0291,dʑ,voiced alveolo-palatal sibilant affricate consonant,dʑ
UNK_w_u0294u0077u0330,ʔw̰,,
BIPA_bh_u0062u02B1u02D0,bʱː,long breathy voiced bilabial stop consonant,bʱː
BIPA_i_u0268u02E4,ɨˤ,pharyngealized unrounded close central vowel,ɨˤ
BIPA_s_u0283u02E4,ʃˤ,pharyngealized voiceless post-alveolar sibilant fricative consonant,ʃˤ
BIPA_oa_u00F8u0251,øɑ,from rounded close-mid front to unrounded open back diphthong,øɑ
BIPA_oe_u0276,ɶ,rounded open front vowel,ɶ
BIPA_ou_u0254u0075,ɔu,from rounded open-mid back to rounded close back diphthong,ɔu
BIPA_h_u0267,ɧ,voiceless palatal-velar fricative consonant,ɧ
BIPA_ts_u0074u0073u0027,ts',voiceless alveolar ejective sibilant affricate consonant,ts’
BIPA_dz_u0064u003Au0292,d:ʒ,long voiced post-alveolar sibilant affricate consonant,dːʒ
BIPA_oi_u00F8u0069,øi,from rounded close-mid front to unrounded close front diphthong,øi
BIPA_oy_u0275u0079,ɵy,from rounded close-mid central to rounded close front diphthong,ɵy
BIPA_o_u006Fu02D0u02D0,oːː,ultra-long rounded close-mid back vowel,oːː
BIPA_w_u026F,ɯ,unrounded close back vowel,ɯ
BIPA_ns_u006Eu0073,ns,from voiced alveolar nasal to voiceless alveolar sibilant fricative cluster,ns
BIPA_mp_u006Du0070,mp,from voiced bilabial nasal to voiceless bilabial stop cluster,mp
BIPA_u_u0075u031Eu02D0,u̞ː,long lowered rounded close back vowel,u̞ː
BIPA_kkh_u006Bu006Bu02B0,kkʰ,from voiceless velar stop to aspirated voiceless velar stop cluster,kkʰ
BIPA_pj_u0070u02B2,pʲ,palatalized voiceless bilabial stop consonant,pʲ
BIPA_aw_u0251u026F,ɑɯ,from unrounded open back to unrounded close back diphthong,ɑɯ
UNK_ia_u0259u026Au0061,əɪa,,
BIPA_n_u006Eu0325,n̥,devoiced voiced alveolar nasal consonant,n̥
BIPA_oe_u006Fu0065,oe,from rounded close-mid back to unrounded close-mid front diphthong,oe
UNK_nph_u004Eu0070u02B0,Npʰ,,
BIPA_y_u0079u0259,yə,from rounded close front to unrounded mid central diphthong,yə
BIPA_aei_u00E6u026A,æɪ,from unrounded near-open front to unrounded near-close near-front diphthong,æɪ
BIPA_nj_u006Eu032Au02B2,n̪ʲ,palatalized voiced dental nasal consonant,n̪ʲ
BIPA_v_u0076u0329,v̩,syllabic voiced labio-dental fricative consonant,v̩
BIPA_bb_u0062u0062,bb,from voiced bilabial stop to voiced bilabial stop cluster,bb
BIPA_ee_u025Bu0065u032F,ɛe̯,from unrounded open-mid front to non-syllabic unrounded close-mid front diphthong,ɛe̯
BIPA_i_u0069u0324u02D0,i̤ː,long breathy unrounded close front vowel,i̤ː
BIPA_dh_u0064u032Au02B1,d̪ʱ,breathy voiced dental stop consonant,d̪ʱ
BIPA_kx_u006Bu0078,kx,voiceless velar affricate consonant,kx
BIPA_sh_u0073u02B0,sʰ,aspirated voiceless alveolar sibilant fricative consonant,sʰ
BIPA_gw_u0067u02B7,gʷ,labialized voiced velar stop consonant,gʷ
BIPA_j_u006Au02D0,jː,long voiced palatal approximant consonant,jː
BIPA_jj_u025Fu029D,ɟʝ,voiced palatal affricate consonant,ɟʝ
UNK_ll_u006Cu006C,ll,,
BIPA_i_u0069u02D0u0259,iːə,from long unrounded close front to unrounded mid central diphthong,iːə
BIPA_mv_u0271u0076,ɱv,from voiced labio-dental nasal to voiced labio-dental fricative cluster,ɱv
BIPA_w_u0294u02B7,ʔʷ,labialized voiceless glottal stop consonant,ʔʷ
BIPA_r_u0280,ʀ,voiced uvular trill consonant,ʀ
UNK_dzdzh_u0064u0292u0064u0292u02B1,dʒdʒʱ,,
BIPA_rg_u027Eu02E0,ɾˠ,velarized voiced alveolar tap consonant,ɾˠ
BIPA_pg_u0070u02E0,pˠ,velarized voiceless bilabial stop consonant,pˠ
BIPA_aeu_u00E6u02D0u028A,æːʊ,from long unrounded near-open front to rounded near-close near-back diphthong,æːʊ
BIPA_oe_u0153,œ,rounded open-mid front vowel,œ
UNK_nd_u004Eu0064,Nd,,
BIPA_e_u025C,ɜ,unrounded open-mid central vowel,ɜ
UNK_wi_u0077u0069,wi,,
BIPA_n_u006Eu02D0,nː,long voiced alveolar nasal consonant,nː
BIPA_dzj_u0064u0292u02B2,dʒʲ,palatalized voiced post-alveolar sibilant affricate consonant,dʒʲ
UNK_aa_u0252u0020u0252u02D0,ɒ ɒː,,
BIPA_eg_u025Bu02E0u02D0,ɛˠː,long velarized unrounded open-mid front vowel,ɛˠː
BIPA_z_u0291,ʑ,voiced alveolo-palatal sibilant fricative consonant,ʑ
BIPA_bw_u0062u02B7,bʷ,labialized voiced bilabial stop consonant,bʷ
BIPA_kh_u03C7u02D0,χː,long voiceless uvular fricative consonant,χː
BIPA_u_u0289u02D0,ʉː,long rounded close central vowel,ʉː
BIPA_h_u0068u0303,h̃,nasalized voiceless glottal fricative consonant,h̃
BIPA_dd_u0256u0256,ɖɖ,from voiced retroflex stop to voiced retroflex stop cluster,ɖɖ
BIPA_dz_u0064u0290,dʐ,voiced retroflex sibilant affricate consonant,ɖʐ
BIPA_j_u029D,ʝ,voiced palatal fricative consonant,ʝ
BIPA_rw_u027Au02B7,ɺʷ,labialized voiced alveolar lateral tap consonant,ɺʷ
BIPA_dg_u0064u032Au02E0,d̪ˠ,velarized voiced dental stop consonant,d̪ˠ
BIPA_gb_u0067u0062,gb,from voiced velar stop to voiced bilabial stop cluster,gb
BIPA_eg_u0065u02E0u02D0,eˠː,long velarized unrounded close-mid front vowel,eˠː
BIPA_d_u0064u032A,d̪,voiced dental stop consonant,d̪
BIPA_s_u0073u02D0,sː,long voiceless alveolar sibilant fricative consonant,sː
UNK_je_u006Au025B,jɛ,,
BIPA_ts_u0074u0073u033B,ts̻,voiceless laminal alveolar sibilant affricate consonant,ts̻
BIPA_r_u0281u031E,ʁ̞,voiced uvular approximant consonant,ʁ̞
BIPA_ts_u0074u0283u2019u02D0,tʃ’ː,long voiceless post-alveolar ejective sibilant affricate consonant,tʃʼː
BIPA_qw_u0071u02B7,qʷ,labialized voiceless uvular stop consonant,qʷ
BIPA_t_u0074u02E4u02D0,tˤː,pharyngealized long voiceless alveolar stop consonant,tˤː
BIPA_t_u0074u032Au02D0,t̪ː,long voiceless dental stop consonant,t̪ː
BIPA_a_u00E3,ã,nasalized unrounded open front vowel,ã
UNK_aiau_u0061u0069u0020u0061u0075,ai au,,
BIPA_gw_u0263u02B7,ɣʷ,labialized voiced velar fricative consonant,ɣʷ
BIPA_au_u0061u0075,au,from unrounded open front to rounded close back diphthong,au
BIPA_u_u0075u02D0u02D0,uːː,ultra-long rounded close back vowel,uːː
BIPA_g_u0067u01C1,gǁ,voiced lateral click consonant,gǁ
BIPA_a_u00E3u0330,ã̰,nasalized creaky unrounded open front vowel,ã̰
BIPA_a_u0250u031F,ɐ̟,advanced unrounded near-open central vowel,ɐ̟
BIPA_j_u006Au0303,j̃,nasalized voiced palatal approximant consonant,j̃
BIPA_ae_u0251u0065,ɑe,from unrounded open back to unrounded close-mid front diphthong,ɑe
BIPA_lw_u026Du02B7,ɭʷ,labialized voiced retroflex lateral approximant consonant,ɭʷ
BIPA_y_u0079,y,rounded close front vowel,y
BIPA_oe_u0254u025Bu032F,ɔɛ̯,from rounded open-mid back to non-syllabic unrounded open-mid front diphthong,ɔɛ̯
BIPA_hw_u0068u02B7u02D0,hʷː,labialized long voiceless glottal fricative consonant,hʷː
UNK_ng_u004Eu0067,Ng,,
BIPA_i_u0069u02D0u02D0,iːː,ultra-long unrounded close front vowel,iːː
BIPA_n_u006Eu02E4,nˤ,pharyngealized voiced alveolar nasal consonant,nˤ
BIPA_ei_u0065u026A,eɪ,from unrounded close-mid front to unrounded near-close near-front diphthong,eɪ
BIPA_ie_u0069u0065,ie,from unrounded close front to unrounded close-mid front diphthong,ie
BIPA_rw_u027Eu02B7,ɾʷ,labialized voiced alveolar tap consonant,ɾʷ
UNK_p_u0070u033C,p̼,,
BIPA_jh_u025Fu02B1,ɟʱ,breathy voiced palatal stop consonant,ɟʱ
UNK_ntch_u004Eu0074u0255u02B0,Ntɕʰ,,
BIPA_a_u0061u0330,a̰,creaky unrounded open front vowel,a̰
BIPA_t_u0074u032A,t̪,voiceless dental stop consonant,t̪
BIPA_j_u0294u02B2u02D0,ʔʲː,palatalized long voiceless glottal stop consonant,ʔʲː
BIPA_u_u028Au033D,ʊ̽,mid-centralized rounded near-close near-back vowel,ʊ̽
BIPA_w_u026Fu0259,ɯə,from unrounded close back to unrounded mid central diphthong,ɯə
BIPA_dh_u0256u02B1,ɖʱ,breathy voiced retroflex stop consonant,ɖʱ
BIPA_i_u026Au033D,ɪ̽,mid-centralized unrounded near-close near-front vowel,ɪ̽
BIPA_qw_u0071u02B7u0027,qʷ',labialized voiceless uvular ejective stop consonant,q’ʷ
BIPA_s_u0073u02E4u02D0,sˤː,pharyngealized long voiceless alveolar sibilant fricative consonant,sˤː
UNK_r_u0294u0072u0325,ʔr̥,,
BIPA_ia_u026Au032Fu0061,ɪ̯a,from non-syllabic unrounded near-close near-front to unrounded open front diphthong,ɪ̯a
BIPA_tw_u0288u02B7,ʈʷ,labialized voiceless retroflex stop consonant,ʈʷ
BIPA_u_u1E75,ṵ,creaky rounded close back vowel,ṵ
BIPA_u_u0075u0259u032F,uə̯,from rounded close back to non-syllabic unrounded mid central diphthong,uə̯
BIPA_tc_u0074u02D0u0255,tːɕ,long voiceless alveolo-palatal sibilant affricate consonant,tɕː
BIPA_n_u006Eu032A,n̪,voiced dental nasal consonant,n̪
UNK_ly_u006Cu0020u028E,l ʎ,,
BIPA__u01C0,ǀ,voiceless dental click consonant,ǀ
BIPA_n_u006Eu032Au02D0,n̪ː,long voiced dental nasal consonant,n̪ː
BIPA__u0295,ʕ,voiced pharyngeal fricative consonant,ʕ
BIPA_dzj_u0064u007Au02B2,dzʲ,palatalized voiced alveolar sibilant affricate consonant,dzʲ
BIPA_g_u0067u003A,g:,long voiced velar stop consonant,gː
BIPA_ndz_u207Fu0064u0292,ⁿdʒ,pre-nasalized voiced post-alveolar affricate consonant,ⁿdʒ
UNK_jeu_u006Au0065u0075u032F,jeu̯,,
BIPA_w_u026Fu0324,ɯ̤,breathy unrounded close back vowel,ɯ̤
BIPA_o_u0254,ɔ,rounded open-mid back vowel,ɔ
BIPA_ie_u0069u025B,iɛ,from unrounded close front to unrounded open-mid front diphthong,iɛ
BIPA_dzh_u0064u0320u0291u02B1u02D0,d̠ʑʱː,from voiced post-alveolar stop to long breathy voiced alveolo-palatal sibilant fricative cluster,d̠ʑʱː
BIPA_ao_u0251u0254u032F,ɑɔ̯,from unrounded open back to non-syllabic rounded open-mid back diphthong,ɑɔ̯
BIPA_j_u006Au003A,j:,long voiced palatal approximant consonant,jː
BIPA_tsh_u0288u0282u02B0,ʈʂʰ,aspirated voiceless retroflex sibilant affricate consonant,ʈʂʰ
BIPA_e_u0065u02E4,eˤ,pharyngealized unrounded close-mid front vowel,eˤ
BIPA_ns_u006Eu0283,nʃ,from voiced alveolar nasal to voiceless post-alveolar sibilant fricative cluster,nʃ
UNK_ndz_u004Eu0064u033Bu007Au033B,Nd̻z̻,,
BIPA_u_u0264u02D0u02D0,ɤːː,long unrounded close-mid back vowel,ɤː
UNK_ntsh_u004Eu0074u032Au0073u032Au02B0,Nt̪s̪ʰ,,
BIPA_z_u007Au032A,z̪,voiced dental sibilant fricative consonant,z̪
BIPA_h_u029C,ʜ,voiceless epiglottal fricative consonant,ʜ
BIPA_mh_u006Du02B1,mʱ,breathy voiced bilabial nasal consonant,mʱ
BIPA_k_u006Bu02BC,kʼ,voiceless velar ejective stop consonant,kʼ
BIPA_d_u00F0,ð,voiced dental fricative consonant,ð
UNK_ld_u006Cu0064,ld,,
BIPA_n_u0272u0325,ɲ̥,devoiced voiced palatal nasal consonant,ɲ̊
UNK_ndz_u004Eu0064u032Au007Au032A,Nd̪z̪,,
BIPA_ts_u0074u0073,ts,voiceless alveolar sibilant affricate consonant,ts
BIPA__u2C71u031F,ⱱ̟,advanced voiced labio-dental tap consonant,ⱱ̟
BIPA_u_u1E73u02D1,ṳˑ,mid-long breathy rounded close back vowel,ṳˑ
BIPA_u_u0264,ɤ,unrounded close-mid back vowel,ɤ
BIPA_e_u025Bu0259,ɛə,from unrounded open-mid front to unrounded mid central diphthong,ɛə
BIPA_m_u006D,m,voiced bilabial nasal consonant,m
BIPA_k_u006Bu0027,k',voiceless velar ejective stop consonant,k’
BIPA_k_u006B,k,voiceless velar stop consonant,k
BIPA_b_u03B2,β,voiced bilabial fricative consonant,β
BIPA_w_u026Fu02D0,ɯː,long unrounded close back vowel,ɯː
BIPA_a_u0061u02E4u003A,aˤ:,long pharyngealized unrounded open front vowel,aˤː
UNK_w_u0077u028C,wʌ,,
BIPA_dz_u0064u0320u0291,d̠ʑ,from voiced post-alveolar stop to voiced alveolo-palatal sibilant fricative cluster,d̠ʑ
UNK_uai_u0075u0061u0069,uai,,
BIPA_eu_u0065u0075u032F,eu̯,from unrounded close-mid front to non-syllabic rounded close back diphthong,eu̯
BIPA_mpw_u006Du0070u02B7,mpʷ,from voiced bilabial nasal to labialized voiceless bilabial stop cluster,mpʷ
BIPA_o_u00F5u0330,õ̰,nasalized creaky rounded close-mid back vowel,õ̰
UNK_tnw_u0288u0273u02B7,ʈɳʷ,,
BIPA_v_u028B,ʋ,voiced labio-dental approximant consonant,ʋ
UNK_mm_u006Du006D,mm,,
BIPA_dzh_u0064u0320u0291u02B1,d̠ʑʱ,from voiced post-alveolar stop to breathy voiced alveolo-palatal sibilant fricative cluster,d̠ʑʱ
BIPA_mb_u006Du0062,mb,from voiced bilabial nasal to voiced bilabial stop cluster,mb
BIPA_au_u0250u0303u0075,ɐ̃u,from nasalized unrounded near-open central to rounded close back diphthong,ɐ̃u
BIPA_dh_u0256u02B1u02D0,ɖʱː,long breathy voiced retroflex stop consonant,ɖʱː
UNK_ei_u0065u0259u026A,eəɪ,,
BIPA_oe_u0254u0065u032F,ɔe̯,from rounded open-mid back to non-syllabic unrounded close-mid front diphthong,ɔe̯
BIPA_a_u0250u0330,ɐ̰,creaky unrounded near-open central vowel,ɐ̰
BIPA_u_u1E73,ṳ,breathy rounded close back vowel,ṳ
BIPA_e_u1E1B,ḛ,creaky unrounded close-mid front vowel,ḛ
BIPA_eo_u025Bu006Fu032F,ɛo̯,from unrounded open-mid front to non-syllabic rounded close-mid back diphthong,ɛo̯
UNK_ui_u0259u028Au026A,əʊɪ,,
BIPA_p_u0070u003A,p:,long voiceless bilabial stop consonant,pː
BIPA_e_u0065u02D0u02E4,eːˤ,long pharyngealized unrounded close-mid front vowel,eˤː
UNK_nggb_u014Bu0067u0062,ŋgb,,
BIPA_dh_u0064u02B0,dʰ,aspirated voiced alveolar stop consonant,dʰ
BIPA_m_u006Du0294,mʔ,from voiced bilabial nasal to voiceless glottal stop cluster,mʔ
BIPA_io_u0069u0254,iɔ,from unrounded close front to rounded open-mid back diphthong,iɔ
BIPA_p_u0070u0027,p',voiceless bilabial ejective stop consonant,p’
BIPA_kwh_u006Bu02B7u02B0,kʷʰ,labialized aspirated voiceless velar stop consonant,kʷʰ
BIPA_fg_u0066u02E0,fˠ,velarized voiceless labio-dental fricative consonant,fˠ
